Stadt,Bundesland,Einwohner,Latitude,Longitude,grünfläche_m2
Brandenburg an der Havel,Brandenburg,73.552,52.4108261,12.5497933,4011090.59563049
Braunschweig	,Niedersachsen	,252.816,52.2646577,10.5236066,11313098.916048061
Celle	,Niedersachsen,	66.610,52.624056,10.081052,2484858.2041480592
Delmenhorst,	Niedersachsen,	80.845,53.048095,8.6286066,5184033.154949248
Garbsen	,Niedersachsen	,59.534,52.4276606,9.6005102,2008877.856683498
Göttingen,	Niedersachsen	,124.548,51.5328328,9.9351811,7397568.543309372
Hameln	,Niedersachsen	,58.123,52.1039941,9.3561569,2612789.3659339175
Hannover	,Niedersachsen,	513.291,52.3744779,9.7385532,24806787.476331845
Hildesheim	,Niedersachsen,	97.716,52.1527188,9.9518083,3472239.552756791
Langenhagen	,Niedersachsen,	53.711,52.443118,9.738994,5440440.527425015
Lingen (Ems),	Niedersachsen,	55.092,52.5224659,7.316584,1802523.140087516
Lüneburg	,Niedersachsen	,72.870,53.248706,10.407855,2522165.4340239884
Nordhorn	,Niedersachsen	,55.724,52.4359731,7.0707659,1045838.0784451854
Oldenburg (Oldenburg)	,Niedersachsen,	172.759,53.1389753,8.2146017,7846986.770950361
Osnabrück,	Niedersachsen	,164.898,52.2719595,8.047635,12417472.961587869
Peine	,Niedersachsen	,50.276,52.3117289,10.251904013552371,5555709.824919013
Salzgitter	,Niedersachsen,	104.215,52.1503721,10.3593147,7112442.274282663
Wilhelmshaven,	Niedersachsen,	75.366,53.5278793,8.106301,4541006.2472389275
Wolfenbüttel,	Niedersachsen,	51.750,52.1625283,10.5348215,3326870.7455784334
Wolfsburg,	Niedersachsen	,127.145,52.4205588,10.7861682,5635868.861672743
Aachen	,Nordrhein-Westfalen	,261.178,50.776351,6.083862,9480532.059725061
Ahlen	,Nordrhein-Westfalen	,52.669,51.7627633,7.8909086,2377237.277968136
Arnsberg	,Nordrhein-Westfalen,	74.861,51.4002384,8.0605908,1705122.4637544462
Bad Oeynhausen	,Nordrhein-Westfalen,	50.394,52.2014399,8.7981244,3642454.704978036
