name,city,area_ha,longitude,latitude,geometry,manager_name,email,phone,website
Städt. Westfriedhof,Gelsenkirchen,15.532242471407697,7.053762955705641,51.51664625025814,"POLYGON ((7.049185700000001 51.5184506, 7.049947399999999 51.51828089999999, 7.050389900000002 51.51813249999999, 7.050451200000003 51.5179637, 7.0504213 51.517789199999996, 7.049726900000003 51.5170262, 7.050480299999999 51.51670139999999, 7.051340700000003 51.5168008, 7.0519948 51.5168976, 7.052817800000001 51.51698789999998, 7.053796700000003 51.51702689999999, 7.055746900000003 51.5170744, 7.055712400000002 51.517164999999984, 7.055997900000003 51.51729970000001, 7.057333100000001 51.5179213, 7.057477300000003 51.51791989999999, 7.057859800000003 51.51809929999999, 7.057958900000003 51.5181189, 7.058528200000002 51.51813649999999, 7.0584586000000025 51.518364, 7.060706300000005 51.51803189999998, 7.061119800000002 51.5177448, 7.059730400000002 51.517229, 7.055543700000004 51.51567459999999, 7.054011100000003 51.515362599999996, 7.052280500000002 51.515146900000005, 7.052113100000002 51.5153042, 7.050144799999999 51.51515090000001, 7.049730000000001 51.5151186, 7.049027099999999 51.5156291, 7.0489840000000035 51.515738799999994, 7.048961300000005 51.515749199999995, 7.048729100000003 51.5158268, 7.048700000000003 51.51584429999999, 7.048638900000001 51.5159184, 7.048531200000003 51.5159903, 7.048531700000001 51.516006999999995, 7.0485317000000025 51.51600749999999, 7.048500300000002 51.51600719999999, 7.0484507 51.5160067, 7.048404400000001 51.516039299999996, 7.048244300000003 51.51615169999999, 7.048266700000001 51.516499200000005, 7.049185700000001 51.5184506))",Non,NoN,Non,Non
Städt. Ostfriedhof,Gelsenkirchen,20.795643791654452,7.132702663908615,51.526400464335374,"POLYGON ((7.1287885 51.528136, 7.130086400000001 51.5283054, 7.130662500000004 51.52837589999999, 7.131028500000002 51.528347499999995, 7.1314003 51.52827260000001, 7.131753800000001 51.528233799999995, 7.132231900000002 51.52825599999999, 7.132620700000001 51.52831489999999, 7.1330810000000024 51.52841229999999, 7.133368200000007 51.52850999999999, 7.133654100000003 51.5287391, 7.133663100000001 51.5287309, 7.133804300000003 51.528798899999984, 7.1341586 51.5289014, 7.1342022 51.52891180000001, 7.1342612000000045 51.5289241, 7.1343377 51.5289362, 7.134396000000001 51.52894179999999, 7.1344349000000005 51.52894149999999, 7.134814100000003 51.52840239999999, 7.135761900000001 51.5270772, 7.135744800000001 51.527032, 7.136062999999998 51.526566800000005, 7.1363616000000025 51.526055799999995, 7.136561600000002 51.525705399999985, 7.1356761 51.5252554, 7.136212500000003 51.5248494, 7.136121400000003 51.5247997, 7.136548699999999 51.5244547, 7.136581300000001 51.5241951, 7.136041900000001 51.5242047, 7.135858800000002 51.5241713, 7.132300200000003 51.52424249999999, 7.132232200000002 51.52473809999999, 7.131542300000001 51.524704499999984, 7.129617500000002 51.5247339, 7.129292600000001 51.5247981, 7.129314499999998 51.52532600000001, 7.129927400000001 51.5253204, 7.129893699999999 51.52554069999999, 7.129296400000006 51.5268747, 7.128662900000004 51.52677229999999, 7.128477900000004 51.52719359999998, 7.128464000000002 51.5274208, 7.1285397999999995 51.52750029999999, 7.1285608 51.52758760000001, 7.128480999999999 51.52766050000001, 7.128617100000001 51.52794719999999, 7.1287885 51.528136))",Non,NoN,Non,Non
Städt. Friedhof Horst-Süd,Gelsenkirchen,11.365015461125068,7.040658392290718,51.53198779567749,"POLYGON ((7.0371874000000005 51.53157229999999, 7.038406000000002 51.5319813, 7.038895099999999 51.53206980000001, 7.039190300000001 51.5321231, 7.039091700000004 51.5323341, 7.041230000000003 51.53265660000001, 7.041214800000002 51.53275699999999, 7.042153199999999 51.5332975, 7.0422517 51.5333042, 7.0429812 51.53378239999999, 7.042673400000001 51.5343972, 7.042589600000001 51.53580949999999, 7.042591100000002 51.53580779999999, 7.043338499999999 51.5357116, 7.043597700000001 51.532890699999996, 7.043467500000002 51.532303299999995, 7.043126500000002 51.53167599999999, 7.042663700000004 51.53120059999999, 7.041988800000001 51.530752400000004, 7.041268500000003 51.530428999999984, 7.0405892 51.5302047, 7.040309800000002 51.53034929999999, 7.040009799999999 51.5304413, 7.0395063 51.53050770000001, 7.0355780000000046 51.530707199999995, 7.035611300000001 51.530984799999985, 7.035876300000002 51.5311349, 7.0371874000000005 51.53157229999999))",Non,NoN,Non,Non
Städt. Friedhof Horst-Nord,Gelsenkirchen,2.405012782164331,7.0232731147437155,51.541164142460154,"POLYGON ((7.021297000000003 51.5410644, 7.022734800000002 51.54161239999999, 7.025335700000001 51.54181149999999, 7.025425599999999 51.5414613, 7.025118200000001 51.541385899999995, 7.024869000000001 51.54126699999999, 7.023831100000001 51.54083159999999, 7.0228556000000015 51.54048950000001, 7.0227816999999995 51.5405002, 7.022269500000004 51.540339499999995, 7.021920099999998 51.5405861, 7.021297000000003 51.5410644))",Non,NoN,Non,Non
Ev. Friedhof Rosenhügel,Gelsenkirchen,1.841949290405751,7.079872053217424,51.53619464209094,"POLYGON ((7.0781672 51.536272600000004, 7.079914200000003 51.536777900000004, 7.081648700000001 51.53633099999999, 7.081420100000005 51.536021899999994, 7.080453500000003 51.5358258, 7.079207300000004 51.5355871, 7.0789205 51.53597559999999, 7.078447400000002 51.5358363, 7.0781672 51.536272600000004))",Non,NoN,Non,Non
Friedhof der Ev.-methodistischen Kirche,Gelsenkirchen,1.392999381902447,7.09706551275803,51.52738829983312,"POLYGON ((7.095722200000002 51.5273123, 7.095890200000004 51.52764869999999, 7.0960059 51.527866399999986, 7.0960162 51.52817410000001, 7.096218600000003 51.5282171, 7.096228300000004 51.5281968, 7.096217400000001 51.52806379999999, 7.096315499999998 51.52792560000001, 7.096963500000002 51.5277848, 7.0978812 51.5275895, 7.0986977000000016 51.5266978, 7.096546000000001 51.5271506, 7.095722200000002 51.5273123))",Non,NoN,Non,Non
Ev. Gemeindefriedhof Auf der Hardt,Gelsenkirchen,2.011848882299028,7.107120438377627,51.53614966568275,"POLYGON ((7.1064342 51.53664609999999, 7.107218300000001 51.53672469999999, 7.1088607 51.53689919999999, 7.108048100000002 51.5360185, 7.108010700000002 51.53597959999999, 7.1079346999999995 51.53598929999999, 7.107901500000002 51.535928599999984, 7.1076201000000045 51.535958099999995, 7.1073796 51.53554030000001, 7.107131100000002 51.53550039999998, 7.1062967 51.535367599999994, 7.105658899999998 51.53551540000001, 7.106282200000002 51.53642930000001, 7.1064342 51.53664609999999))",Non,NoN,Non,Non
Ev. Altstadtfriedhof,Gelsenkirchen,3.717660156838849,7.104589604071463,51.510951582096716,"POLYGON ((7.106619200000002 51.5106236, 7.1053639 51.510458, 7.102803000000001 51.510099999999994, 7.102801000000002 51.510103399999984, 7.102415700000001 51.5112214, 7.102368499999999 51.511216000000005, 7.102348700000001 51.511338599999995, 7.103235200000001 51.51143849999999, 7.103260299999998 51.5113473, 7.107022899999999 51.511778899999996, 7.107023100000003 51.51175250000001, 7.1070918999999995 51.51155000000001, 7.107099000000002 51.511529299999985, 7.106430900000004 51.51153179999999, 7.106406800000002 51.511234900000005, 7.106720100000004 51.5112389, 7.106793199999999 51.5110103, 7.106816900000002 51.510935, 7.1068175 51.5109331, 7.106771900000004 51.510926399999995, 7.106771000000002 51.5109294, 7.1066727000000025 51.51091759999999, 7.106524500000003 51.510899499999994, 7.106615700000002 51.51063919999999, 7.106619200000002 51.5106236))",Non,NoN,Non,Non
Kath. Friedhof St. Joseph,Gelsenkirchen,3.554270418911396,7.096122820388883,51.526497311748855,"POLYGON ((7.0943558000000015 51.52663400000001, 7.0943878000000025 51.52671629999999, 7.094441600000006 51.52677149999999, 7.0944927 51.52682389999999, 7.094717400000002 51.527054299999996, 7.0949385000000005 51.5273211, 7.095040500000002 51.527444, 7.095508800000005 51.52734749999999, 7.095722200000002 51.5273123, 7.096546000000001 51.5271506, 7.0986977000000016 51.5266978, 7.098882600000002 51.526467499999995, 7.097311800000003 51.526530900000004, 7.097194900000001 51.526170699999994, 7.097169300000001 51.52609189999999, 7.097054200000001 51.525869699999994, 7.096933900000004 51.5255581, 7.0957531000000005 51.5255738, 7.095618699999999 51.52559540000001, 7.0950448999999995 51.52593809999999, 7.094899599999999 51.52604739999999, 7.094503400000001 51.5263086, 7.0943289000000025 51.526412099999995, 7.094248400000001 51.52650039999999, 7.094236900000006 51.52659109999999, 7.0943558000000015 51.52663400000001))",Non,NoN,Non,Non
Kath. Friedhof Hohenfriedberger Straße,Gelsenkirchen,1.1873975155125411,7.119141650515299,51.50372923025863,"POLYGON ((7.118082000000005 51.503946199999994, 7.1194537 51.50436010000001, 7.119501399999999 51.50436130000001, 7.119540900000001 51.50434020000001, 7.120194300000003 51.503511800000005, 7.118785000000003 51.5030803, 7.118082000000005 51.503946199999994))",Non,NoN,Non,Non
