city,latitude,longitude,total_bike
Mülheim an der Ruhr,51.434064036934934,6.877311625479342,36
Dresden	,51.05096967479159,13.756775700147642,114
Kassel	,51.31535767893365,9.480107205135843,82
Dinslaken,51.571755421384275,6.748253509379524,8
Heidelberg	,49.40295510102581,8.69258676344617,17
Neuss	,51.17739916137179,6.692893762512961,50
Waiblingen	,48.844607226279386,9.317503600972385,11
Baden-Baden	,48.7572954444277,8.220192394728493,16
Lünen	,51.61144252044444,7.517038330948896,18
Grevenbroich,51.09016814518941,6.5971753815638925,15
Heilbronn	,49.14489806051935,9.206739355176028,26
Frechen	,50.91418433683065,6.783409999764123,11
Wetzlar	,50.559312189776435,8.521444316789157,19
Bad Homburg vor der Höhe,50.230539392343175,8.623035792900863,18
Wesel	,51.66336373171731,6.6007849224521085,7
Stolberg (Rhld.)	,50.7593864936385,6.226441866837524,9
Fürth	,49.47932680785678,10.990512094032825,13
Landshut,48.542582829246314,12.14676383708873,20
Düren	,50.8012683909903,6.4675354686252575,25
Viersen	,51.255632737277544,6.376308588608449,10
Dessau-Roßlau,51.83663294143096,12.233570902171177,91
Offenbach am Main	,50.107202378429434,8.78454643170523,15
Kiel	,54.33359655310116,10.13480818899534,52
Osnabrück,52.278781876883194,8.044454162246378,29
Lüneburg	,53.24308136645239,10.401417146789782,13
Rüsselsheim am Main,49.98808293013947,8.434829207443919,12
Troisdorf,50.805980000537424,7.128862076120901,9
Fulda	,50.54993799180026,9.676785036378934,17
Ludwigshafen am Rhein,49.4866502428561,8.406389637763224,35
Rostock	,54.11685013498762,12.110730401250521,45
Würzburg,49.790920930435306,9.947400747222648,40
Delmenhorst,53.05241665413837,8.617544706006493,19
Trier	,49.754201991153664,6.647526478490846,12
Langenhagen	,52.4505644789885,9.745104673796998,16
Oldenburg (Oldenburg)	,53.14621633498018,8.211629407305358,25
Passau	,48.5681357383487,13.440514220702422,6
Lübeck	,53.89274312524187,10.735390670558527,33
Salzgitter	,52.0872907240053,10.363805263634973,13
Köln	,50.9429807003789,6.957129100166142,308
Rosenheim	,47.85811604845191,12.127109585629968,6
Frankfurt am Main,50.12643090788161,8.646931598432033,158
Celle	,52.62165743524217,10.07619361413093,14
Minden	,52.290844192680765,8.900529735737184,25
Bremerhaven	,53.55007227463872,8.597552183909276,33
Saarbrücken,49.23987011013152,6.9980240908372515,42
Detmold	,51.93170281448579,8.858207409167395,21
Oberhausen	,51.496750327609725,6.852490595580489,60
Recklinghausen,51.5977568039723,7.20620971166352,28
Bergisch Gladbach,50.982481384005666,7.1364412836921485,13
Wilhelmshaven,53.535470992227005,8.10781794285161,18
Stralsund	,54.32022611701108,13.07950338624683,6
Karlsruhe	,49.00457337093402,8.416721104575117,49
Norderstedt	,53.69926944719616,10.00044267821907,19
Rheine	,52.28017759978492,7.441704193799928,11
Erfurt,50.973424271247936,11.005566261605026,42
Erlangen,49.591352211553186,11.000760784424276,11
Iserlohn,51.3895725782778,7.674641336453373,12
Stuttgart,48.778601875069555,9.17975069701944,101
Menden (Sauerland)	,51.42727243609823,7.813434485142752,9
Bad Kreuznach	,49.81367676313883,7.728075109389364,19
Potsdam,52.40504643016927,13.067580746189734,92
Hagen	,51.36058190666702,7.4818345620741455,34
