city,latitude,longitude,total_bike
Siegen	,50.88589777708924,8.011314910644618,14
Essen	,51.45360186278934,7.019785806177888,128
Hildesheim	,52.15229722594487,9.941269056729436,18
Witten	,51.44005551134828,7.338681408750169,20
Tübingen,48.521892464580056,9.054470764926876,11
Langenfeld (Rheinland)	,51.107717799126206,6.956027453269703,9
Bad Oeynhausen	,52.21915017288396,8.79310189270873,17
Ingolstadt ,48.765016889145144,11.422523123007956,22
Eschweiler,50.82494285797651,6.271295145258906,9
Esslingen am Neckar	,48.74024626897467,9.314209078353946,11
Arnsberg	,51.427470369121906,8.007317402617806,15
Leipzig	,51.33480551121393,12.374793083304699,178
Hameln	,52.1067233191199,9.377418805704469,14
Friedrichshafen,47.65804106125765,9.452741411563219,5
Lingen (Ems),52.51933593073919,7.308884507765242,6
Hamburg	,53.558009231469725,10.01236852616433,371
Marburg	,50.80541998817206,8.76521382128487,16
Castrop-Rauxel	,51.56474673720746,7.316089438617877,20
München	,48.13749631236115,11.558495538360777,314
Regensburg	,49.01608583386587,12.09623786208123,52
Nordhorn	,52.43193758206981,7.073598359556547,6
Peine	,52.30670662253266,10.24358661270848,19
Euskirchen	,50.611286404073375,6.75407822814907,46
Wolfenbüttel,52.17411117601776,10.543127983373047,14
Ratingen	,51.312407152104676,6.860719628065784,8
Schwerin	,53.626997073077796,11.41767705504128,20
Darmstadt,49.87021678930205,8.653466392618421,40
Rastatt	,48.86140487770207,8.214479790274677,9
Unna	,51.53922474019615,7.696034704231717,11
Wuppertal,51.2576725788753,7.167327316243279,76
Gießen	,50.57820648755763,8.673494946679153,15
Leverkusen	,51.04829115824147,7.002573397812661,26
Freiburg im Breisgau,48.002157339513296,7.838732310620372,31
Solingen	,51.167037835489964,7.058379203704308,34
Bielefeld,52.01663183872728,8.542038023158653,73
Greifswald	,54.09449589689619,13.382454235311169,13
Gütersloh,51.90498760844783,8.379984737105017,17
Bochum	,51.474276274539825,7.218438272588974,95
Worms	,49.64255139396744,8.337062605647034,17
Wiesbaden,50.06786504422831,8.25195476250174,44
Sindelfingen,48.71079581124144,8.992755663739974,17
Hürth	,50.877665275519036,6.860203756970269,13
Göppingen	,48.70657223219831,9.65466611168268,9
Bergheim	,50.95993527503577,6.654403669709813,10
Kleve	,51.78609055412282,6.12654818347214,15
Sankt Augustin,50.7770329911949,7.192951879557224,9
Ulm	,48.39466165869006,9.976270615763225,17
Dorsten	,51.69096239241365,6.985340886025686,17
Frankfurt (Oder)	,52.33180469525817,14.532022169346341,14
Augsburg,48.360398062803796,10.884625276567714,31
Neubrandenburg,53.545848977170124,13.279668781951743,15
Elmshorn,53.75415039573916,9.658542106053348,17
Halle (Saale),51.48032399775171,11.970332419806294,59
Aalen	,48.84748748825763,10.093562058178884,12
Bonn	,50.709722022935814,7.125444141579035,67
Villingen-Schwenningen	,48.058175858376586,8.532033042791797,11
Gelsenkirchen,51.53452857491923,7.082421906872346,87
Neuwied	,50.44388981986302,7.500774142793699,17
Offenburg,48.4625518755246,7.958403588728753,11
Marl	,51.66181516716371,7.1087365330315535,13
Herten	,51.590515413578075,7.131932624576315,18
Meerbusch	,51.276470314562005,6.662331589219793,11
Schwäbisch Gmünd	,48.80268978123769,9.802439265526182,11
Schweinfurt	,50.05300059189322,10.235626556133996,13
Neu-Ulm	,48.39357863130027,10.02436264675424,9
Weimar,50.97590365925516,11.317970423229188,31
Jena   ,50.923285975418636,11.594039672334013,17
